lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
0050002	1147.0	674.0	3456.0	1561.0	503.0	3382.0	5028.0	3072.0	1121.0	5516.0	3254.0	3461.0	2057.0	3377.0	725.0	1556.0	1662.0	714.0	1541.0	1405.0	4378.0	1262.0	5379.0	3958.0	1032.0	6948.0	9116.0	5527.0	4607.0	4670.0	270.0	477.0	472.0	2992.0	96291.8	1329923.0	1825444.49846
0050003	1048.0	613.0	2600.0	1680.0	395.0	3462.0	4893.0	4043.0	993.0	5392.0	2890.0	3202.0	1575.0	3825.0	724.0	1560.0	2036.0	726.0	1417.0	1519.0	4759.0	1467.0	5895.0	4232.0	667.0	6624.0	7673.0	6648.0	3909.0	4742.0	273.0	372.0	517.0	2869.0	95233.4	1269478.0	1756448.025
0050004	1059.0	589.0	2696.0	1446.0	469.0	3626.0	4652.0	3438.0	1003.0	5613.0	3218.0	3187.0	2067.0	3321.0	607.0	1863.0	1684.0	881.0	1457.0	1349.0	5117.0	1286.0	5923.0	4507.0	927.0	6304.0	8565.0	5625.0	4864.0	4232.0	260.0	468.0	529.0	2739.0	95554.9	1313766.0	1701806.08728
0050005	1201.0	882.0	2504.0	1442.0	415.0	3063.0	4613.0	3499.0	904.0	4712.0	2783.0	2661.0	1856.0	3537.0	725.0	1428.0	1573.0	718.0	1472.0	1105.0	3767.0	1431.0	5365.0	4097.0	911.0	6210.0	7721.0	5655.0	4112.0	4420.0	282.0	467.0	568.0	2788.0	88885.0	1167665.0	1564222.70188
0050006	1006.0	613.0	2249.0	1436.0	518.0	3659.0	5147.0	3496.0	1288.0	5971.0	3043.0	3332.0	2183.0	3185.0	695.0	1696.0	1712.0	853.0	1529.0	1444.0	5066.0	1210.0	5814.0	5070.0	713.0	6969.0	8588.0	6291.0	3805.0	3927.0	319.0	446.0	436.0	2409.0	96114.9	1305905.0	1616394.38692
0050007	1143.0	812.0	3064.0	1580.0	558.0	3770.0	5791.0	4406.0	1167.0	6134.0	3712.0	3487.0	2406.0	4064.0	1078.0	2103.0	2283.0	981.0	1849.0	1626.0	6530.0	1486.0	6139.0	6000.0	1307.0	8938.0	10068.0	7426.0	5182.0	6088.0	360.0	567.0	563.0	3212.0	115880.0	1492984.0	2048198.33388
0050008	1374.0	752.0	2315.0	1722.0	405.0	3401.0	4870.0	3677.0	1027.0	5746.0	2750.0	3479.0	1966.0	3398.0	623.0	1390.0	1669.0	728.0	1378.0	1760.0	4007.0	1362.0	5197.0	3821.0	884.0	6294.0	8936.0	6097.0	3435.0	3805.0	289.0	545.0	379.0	2580.0	92046.2	1212515.0	1558102.7693
0050009	995.0	330.0	1984.0	1446.0	462.0	3667.0	5421.0	3527.0	1275.0	5563.0	3201.0	3096.0	2351.0	3866.0	729.0	1358.0	1850.0	880.0	1559.0	1339.0	4667.0	1175.0	5278.0	4754.0	1213.0	6459.0	8935.0	6156.0	4669.0	4763.0	298.0	511.0	511.0	2691.0	96970.5	1308834.0	1919229.7262
0050010	728.0	397.0	1445.0	1433.0	340.0	2417.0	2962.0	1989.0	677.0	3887.0	1850.0	2346.0	1510.0	1942.0	519.0	1123.0	1079.0	509.0	893.0	1198.0	3102.0	866.0	3612.0	2692.0	556.0	3430.0	5290.0	3851.0	3177.0	3242.0	230.0	362.0	361.0	2149.0	62145.2	881253.0	1185229.20255
0050011	1026.0	879.0	3309.0	1440.0	412.0	3267.0	4666.0	4267.0	1335.0	4856.0	3403.0	3094.0	2598.0	4371.0	937.0	1649.0	2101.0	917.0	1664.0	1521.0	5045.0	1596.0	5890.0	4560.0	1172.0	8512.0	8642.0	7753.0	5336.0	5823.0	326.0	504.0	542.0	3025.0	106421.0	1369323.0	1985714.18738
