Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-28675_ses-1	5802.5	250.5	13167.2	55516.3	6466.0	3792.0	4547.7	1644.1	1037.4	2534.4	18541.2	3735.0	1345.2	1275.3	437.1	3587.0	65.0	630.3	6457.3	390.1	12285.8	62117.2	6615.7	3771.1	4372.6	1617.4	4153.3	1462.5	526.3	3506.1	22.5	582.4	0.0	855.6	0.0	0.0	0.0	0.0	0.0	165.1	820.6	487.2	472.0	457.6	640.9	990821.0	972471.0	972420.530909	219547.355587	221437.8609	440985.216487	166778.943641	168756.370782	335535.314423	53415.0	612937.216487	845892.530909	832285.530909	829893.0	1346561.0	0.761712	1.035194	17.0	24.0	41.0	1300781.19608
sub-28676_ses-1	12733.7	29.4	7672.2	49017.1	8252.2	3610.3	4442.2	1308.4	2226.3	2043.0	23505.2	2807.1	1197.5	2048.9	831.2	5899.7	35.1	206.8	10283.5	593.8	5635.4	44949.0	9549.5	4143.3	4130.7	1313.5	5891.6	3280.1	847.8	6952.8	14.6	293.1	1.3	10224.0	0.0	0.0	0.0	0.0	0.0	103.1	868.6	420.5	399.1	490.1	761.4	2454374.0	2394150.0	1311080.64447	268604.046581	282113.09624	550717.142821	207250.487903	206512.013749	413762.501651	127571.0	871769.142821	1134281.64447	1086940.64447	2174998.0	3547767.0	1.403167	2.028261	336.0	404.0	740.0	1749166.86885
sub-28677_ses-1	7241.6	206.6	11756.7	40099.4	9266.2	4257.7	5542.5	2169.1	1177.7	1801.5	18802.9	4159.3	1737.9	1216.1	628.9	5643.4	54.5	591.3	7657.0	225.2	12005.5	39277.3	10262.5	4521.6	5502.7	2010.6	4317.5	1698.2	685.9	4305.6	7.6	858.9	0.0	795.9	0.0	0.0	0.0	0.0	0.0	180.0	1264.7	748.3	604.3	633.4	1060.9	1188708.0	1168031.0	1167721.2272	256916.03812	253376.880378	510292.918498	244465.345086	240714.963614	485180.3087	68426.0	660466.918498	1082515.2272	1066069.2272	1064104.0	1598863.0	0.727534	0.978564	22.0	24.0	46.0	1633886.83503
sub-28678_ses-1	14766.9	404.5	12373.2	48620.5	6950.5	3188.3	3818.7	1441.9	889.6	917.3	16807.5	3167.1	1235.0	1446.0	529.9	3681.8	71.7	514.3	15719.6	411.8	11338.5	47403.1	7126.9	3146.6	3775.8	1081.7	3269.1	1392.7	398.6	3401.0	74.9	569.9	0.0	927.3	0.0	0.0	0.0	0.0	0.0	163.7	949.7	342.0	423.4	409.1	885.8	1041906.0	1006596.0	1005793.45928	229597.028813	230748.475761	460345.504574	187974.271006	188429.683701	376403.954707	49216.0	606383.504574	920624.459281	888591.459281	886741.0	1360735.0	0.798469	1.042805	18.0	21.0	39.0	1304880.15432
sub-28679_ses-1	5389.9	231.1	9565.1	49108.9	8463.7	4173.9	4529.1	1771.0	1292.7	1757.3	22976.2	4626.2	1794.3	916.3	749.8	6261.2	97.8	479.6	6673.4	398.7	9275.2	51297.7	8469.7	4203.8	4363.2	1805.5	4777.3	1951.2	606.7	5892.8	20.7	559.7	0.0	1714.3	0.0	0.0	0.0	0.0	0.0	221.5	707.2	451.2	463.1	358.7	711.9	2398552.0	2364192.0	1319230.86046	289058.028303	289662.442934	578720.471237	188728.731651	187382.657577	376111.389228	128182.0	907998.471237	1095990.86046	1069763.86046	2127804.0	3373886.0	1.415527	1.991129	157.0	147.0	304.0	1694458.60002
sub-28680_ses-1	12827.8	155.3	13184.6	41429.2	9024.6	3585.9	4474.6	1378.8	1106.5	1546.7	18877.0	4264.0	1583.7	1082.6	531.4	4655.7	5.6	680.5	12444.3	203.8	11097.5	42953.4	9250.7	3572.3	5091.0	1319.8	4195.2	1843.1	516.4	3779.9	0.0	640.7	0.0	2054.6	0.0	0.0	0.0	0.0	0.0	101.4	978.2	444.1	447.0	508.8	722.7	1184567.0	1153994.0	1153155.4359	256284.825927	255660.288695	511945.114622	236862.885764	233567.435511	470430.321275	60650.0	660005.114622	1073929.4359	1047096.4359	1043775.0	1595008.0	0.757936	1.020554	63.0	70.0	133.0	1562884.40689
sub-28681_ses-1	17184.8	379.1	18486.9	54642.6	9176.4	4680.4	6217.0	1992.2	1336.0	2815.2	25404.2	4374.7	1600.2	1497.4	781.7	5445.1	31.0	307.7	11429.3	304.8	11425.8	59227.5	9149.7	4633.6	6318.5	1664.3	4462.8	1780.2	800.4	4942.5	20.7	631.2	0.0	928.9	0.0	0.0	0.0	0.0	0.0	127.9	1192.0	683.6	501.6	468.1	1004.7	1270412.0	1234996.0	1234591.86481	283949.282266	274816.462953	558765.745219	234661.379964	227814.739632	462476.119596	69946.0	743085.745219	1123381.86481	1093634.86481	1091495.0	1700887.0	0.739632	0.990254	39.0	31.0	70.0	1717627.1011
sub-28682_ses-2	3448.9	7.8	6926.3	53723.2	4170.2	1374.8	1874.0	675.8	3109.3	5214.6	44901.7	3652.0	1727.9	2118.0	588.0	4253.6	1.0	88.3	3214.6	94.4	5514.6	47310.0	4123.5	1382.4	3728.2	678.5	2596.4	1779.0	477.4	5695.4	0.0	137.1	0.0	7679.7	0.0	0.0	0.0	0.0	0.0	123.8	561.9	371.0	379.5	456.3	507.1	1147701.0	1130227.0	1126386.47092	244536.090372	241290.566487	485826.656858	238106.77045	240225.043609	478331.81406	40117.0	636145.656858	1026395.47092	1019537.47092	1008011.0	1648912.0	0.798224	1.146815	95.0	92.0	187.0	1437818.79326
sub-28683_ses-1	13612.9	340.7	14969.5	59058.6	9588.4	4373.1	4602.5	1741.7	1012.6	1999.2	24764.9	4452.5	1599.7	1855.0	663.2	3981.8	6.2	670.6	14435.6	295.4	12581.3	51122.5	9578.2	4460.2	5710.1	1791.3	4612.2	2107.5	621.7	3698.9	38.8	508.5	0.0	1231.8	0.0	0.0	0.0	0.0	0.0	160.5	1089.9	566.6	491.2	541.9	955.0	1283763.0	1249566.0	1249234.89792	277945.91127	281511.321393	559457.232664	242741.232623	243933.432634	486674.665257	65476.0	736925.232664	1143367.89792	1114111.89792	1111808.0	1754491.0	0.741776	1.013769	52.0	45.0	97.0	1730662.05243
sub-28684_ses-1	8275.5	205.8	18394.7	53157.0	9931.4	4238.0	5689.9	2157.8	944.0	1679.7	24029.7	4285.3	1933.3	1805.5	787.5	5326.7	24.1	429.7	9379.8	282.1	17317.1	57126.2	10686.1	4490.0	5744.4	2382.5	4428.7	2320.5	655.7	4761.1	30.1	537.8	0.0	1161.0	0.0	0.0	0.0	0.0	0.0	213.5	1112.1	442.2	472.4	485.9	892.7	1366362.0	1343192.0	1343311.46691	298314.062354	299448.158461	597762.220815	262771.377938	264940.86816	527712.246099	71816.0	781187.220815	1218488.46691	1199783.46691	1196991.0	1792720.0	0.808956	1.061381	45.0	57.0	102.0	1689043.99495
