lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-28675_ses-1	601.0	512.0	1750.0	1166.0	354.0	2557.0	3810.0	3167.0	994.0	4932.0	2391.0	2928.0	1559.0	3153.0	596.0	1150.0	1725.0	660.0	1119.0	1294.0	3647.0	1027.0	4450.0	3302.0	753.0	4592.0	5882.0	5094.0	3272.0	3045.0	206.0	379.0	474.0	2132.0	74349.5	972471.0	1300781.19608
sub-28676_ses-1	890.0	702.0	2318.0	1543.0	243.0	2701.0	5822.0	3708.0	1279.0	5770.0	3076.0	2637.0	1536.0	3246.0	374.0	1752.0	1752.0	722.0	1612.0	1609.0	4790.0	1071.0	5342.0	4646.0	1016.0	7141.0	9295.0	7381.0	4577.0	5189.0	208.0	416.0	527.0	3457.0	98332.5	2394150.0	1749166.86885
sub-28677_ses-1	1110.0	600.0	2284.0	1590.0	420.0	2996.0	3680.0	3559.0	1256.0	4142.0	2716.0	3166.0	1789.0	3273.0	780.0	1336.0	1637.0	743.0	1415.0	1616.0	3660.0	1368.0	4935.0	4170.0	757.0	5965.0	8346.0	5512.0	3711.0	4868.0	242.0	565.0	446.0	2437.0	87083.1	1168031.0	1633886.83503
sub-28678_ses-1	622.0	582.0	1893.0	1246.0	529.0	2847.0	4156.0	2861.0	822.0	4702.0	2711.0	2896.0	1778.0	2465.0	633.0	1250.0	1452.0	662.0	1226.0	1360.0	3586.0	1010.0	3969.0	3316.0	774.0	4942.0	5987.0	5127.0	3018.0	3252.0	253.0	446.0	425.0	2184.0	74972.0	1006596.0	1304880.15432
sub-28679_ses-1	1231.0	711.0	2526.0	1369.0	332.0	3725.0	6372.0	3793.0	1071.0	6531.0	3628.0	3143.0	1880.0	3910.0	538.0	1504.0	1931.0	922.0	1450.0	1482.0	4465.0	1296.0	5514.0	4596.0	885.0	6593.0	7756.0	5998.0	4123.0	3467.0	181.0	279.0	408.0	2743.0	96341.4	2364192.0	1694458.60002
sub-28680_ses-1	995.0	763.0	2845.0	1755.0	372.0	4051.0	5141.0	3955.0	1198.0	6259.0	2897.0	3404.0	2115.0	3324.0	682.0	1576.0	1748.0	700.0	1491.0	1649.0	4301.0	1208.0	5535.0	4682.0	750.0	6262.0	7706.0	6448.0	4616.0	4122.0	226.0	412.0	507.0	2500.0	96085.3	1153994.0	1562884.40689
sub-28681_ses-1	1028.0	766.0	2747.0	1601.0	480.0	3452.0	5614.0	4151.0	934.0	5318.0	3217.0	2440.0	2017.0	3773.0	842.0	1349.0	1343.0	907.0	1299.0	1664.0	4363.0	1241.0	5076.0	3918.0	903.0	6448.0	7704.0	4978.0	4168.0	4171.0	244.0	491.0	485.0	2652.0	91777.2	1234996.0	1717627.1011
sub-28682_ses-2	736.0	896.0	3187.0	1600.0	551.0	2586.0	5174.0	3852.0	933.0	5160.0	2327.0	2500.0	1526.0	3678.0	783.0	1593.0	1900.0	669.0	1538.0	1294.0	4450.0	1493.0	5037.0	4200.0	991.0	6926.0	9074.0	5802.0	3275.0	4231.0	229.0	371.0	382.0	3240.0	92180.5	1130227.0	1437818.79326
sub-28683_ses-1	1220.0	797.0	2696.0	1806.0	365.0	3493.0	5722.0	4035.0	947.0	5460.0	3012.0	3321.0	1956.0	4394.0	705.0	1395.0	1450.0	679.0	1153.0	1606.0	4147.0	1237.0	5222.0	4129.0	910.0	7117.0	8391.0	5959.0	4627.0	4837.0	305.0	543.0	472.0	2729.0	96838.3	1249566.0	1730662.05243
sub-28684_ses-1	1297.0	771.0	2736.0	2145.0	586.0	3773.0	6368.0	3986.0	1224.0	6094.0	3139.0	3987.0	2275.0	4044.0	856.0	1534.0	1640.0	756.0	1453.0	2078.0	4313.0	1346.0	5047.0	4196.0	1020.0	6391.0	8247.0	6106.0	4763.0	4018.0	266.0	613.0	499.0	2692.0	100251.0	1343192.0	1689043.99495
sub-28685_ses-1	880.0	477.0	2390.0	1444.0	255.0	2464.0	3924.0	2691.0	1014.0	4439.0	2435.0	2729.0	1379.0	3012.0	488.0	1266.0	1729.0	674.0	1256.0	1749.0	3732.0	966.0	4402.0	4012.0	643.0	5777.0	6789.0	5287.0	3893.0	4350.0	202.0	434.0	439.0	2194.0	79642.0	1023448.0	1408551.13433
sub-28686_ses-1	1149.0	839.0	2705.0	1898.0	529.0	3674.0	5476.0	4339.0	1445.0	6991.0	3662.0	3137.0	2412.0	4184.0	642.0	1491.0	2262.0	923.0	1712.0	1682.0	4462.0	1337.0	4968.0	5667.0	1086.0	7805.0	8373.0	7259.0	4767.0	4626.0	340.0	548.0	453.0	2851.0	105684.0	1374766.0	1855999.3068
sub-28687_ses-1	1152.0	658.0	2264.0	1615.0	453.0	3252.0	5065.0	3747.0	1313.0	6383.0	2514.0	3774.0	2037.0	3731.0	712.0	1556.0	1651.0	702.0	1226.0	2139.0	3847.0	1309.0	4631.0	4342.0	802.0	6019.0	7020.0	5384.0	4215.0	3463.0	220.0	338.0	372.0	2626.0	90522.6	2317413.0	1626371.95032
sub-28688_ses-1	1245.0	707.0	2500.0	1645.0	598.0	4210.0	5461.0	4009.0	1318.0	7732.0	3135.0	3205.0	2500.0	4247.0	666.0	1459.0	1836.0	682.0	1619.0	1388.0	4852.0	1622.0	5031.0	4544.0	1064.0	6870.0	8164.0	6215.0	5009.0	4447.0	294.0	572.0	542.0	2803.0	102189.0	1364401.0	1778729.88143
sub-28689_ses-1	1251.0	782.0	2666.0	1629.0	437.0	3956.0	5736.0	4093.0	1292.0	6069.0	3542.0	3415.0	2401.0	4316.0	1043.0	1638.0	1819.0	789.0	1580.0	1420.0	4411.0	1636.0	5715.0	4684.0	1193.0	7828.0	9194.0	7033.0	4553.0	5363.0	297.0	546.0	466.0	2860.0	105645.0	1345715.0	1812945.25313
