lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-28675_ses-1	2.606	3.252	2.526	2.1	3.217	2.911	2.526	3.016	2.403	2.226	2.867	2.306	2.707	2.985	2.649	2.369	2.701	2.862	2.739	1.764	2.048	2.541	2.549	2.43	3.247	2.634	2.804	2.254	2.976	2.659	3.044	3.818	2.389	3.139	2.5995	972471.0	1300781.19608
sub-28676_ses-1	2.529	2.354	2.55	2.127	2.626	2.562	2.551	2.562	2.404	2.193	2.64	2.26	2.199	2.773	2.002	2.503	2.819	2.609	2.609	2.217	2.196	2.639	2.77	2.594	2.62	2.367	2.661	2.393	2.822	2.487	2.554	2.725	2.811	2.91	2.5204	2394150.0	1749166.86885
sub-28677_ses-1	2.859	2.544	2.729	2.095	3.441	2.77	2.689	2.82	2.306	2.213	2.811	2.25	2.768	2.97	2.515	2.682	2.859	2.954	2.71	1.935	2.068	2.437	2.776	2.539	3.029	2.616	2.962	2.405	2.963	2.746	2.951	3.162	2.602	3.191	2.65487	1168031.0	1633886.83503
sub-28678_ses-1	2.409	3.039	2.673	2.093	3.456	2.757	2.595	2.959	2.527	2.353	2.984	2.269	2.714	3.08	2.811	2.617	2.751	2.958	2.914	1.842	2.234	2.604	2.813	2.678	2.984	2.61	2.853	2.555	2.877	2.853	2.781	3.77	2.765	3.031	2.6787	1006596.0	1304880.15432
sub-28679_ses-1	2.749	2.536	2.767	2.153	1.708	2.585	2.618	2.516	2.278	2.286	2.704	2.342	2.262	3.0	2.02	2.718	2.824	2.912	2.732	2.059	2.464	2.729	2.849	2.552	2.896	2.687	2.948	2.463	3.001	2.781	2.595	2.434	2.878	3.059	2.64701	2364192.0	1694458.60002
sub-28680_ses-1	2.444	2.408	2.711	1.787	2.976	2.449	2.446	2.731	2.466	2.061	2.742	2.245	2.566	2.718	2.023	2.424	2.636	2.677	2.575	1.826	2.059	2.328	2.631	2.286	2.83	2.428	2.732	2.223	2.537	2.699	2.663	3.25	2.318	2.883	2.46124	1153994.0	1562884.40689
sub-28681_ses-1	2.578	2.788	2.791	2.062	3.473	3.048	2.56	3.2	2.421	2.363	3.019	2.241	2.869	3.161	2.629	2.493	3.02	3.195	2.799	1.901	2.342	2.792	2.845	2.572	2.869	2.696	2.893	2.336	3.076	2.672	2.744	3.983	2.548	3.252	2.73206	1234996.0	1717627.1011
sub-28682_ses-2	2.273	2.723	2.614	2.2	2.216	2.406	2.534	2.534	1.708	2.223	2.733	2.408	2.476	2.544	2.959	2.191	2.682	3.005	2.562	2.061	2.147	2.335	2.426	2.516	2.71	2.579	2.664	2.218	2.639	2.515	2.366	2.666	2.425	2.965	2.48385	1130227.0	1437818.79326
sub-28683_ses-1	2.734	2.564	2.531	1.871	3.381	2.724	2.512	2.765	2.423	2.342	2.641	2.25	2.614	2.926	2.442	2.411	2.708	2.858	2.688	1.767	2.156	2.575	2.508	2.474	2.858	2.406	2.574	2.25	2.953	2.684	3.103	3.304	2.688	3.1	2.53946	1249566.0	1730662.05243
sub-28684_ses-1	2.796	2.496	2.726	2.089	3.034	2.915	2.635	2.861	2.541	2.333	2.768	2.265	2.621	3.081	2.67	2.615	2.733	2.968	2.652	1.628	2.172	2.528	2.79	2.585	2.914	2.624	2.865	2.28	3.011	2.781	2.637	3.965	2.568	3.104	2.64325	1343192.0	1689043.99495
sub-28685_ses-1	2.601	2.867	2.765	2.231	3.19	2.751	2.486	2.753	2.698	2.259	2.756	2.26	2.605	2.911	3.075	2.594	2.649	2.517	2.541	1.871	2.255	2.671	2.631	2.443	3.348	2.531	2.83	2.246	2.85	2.683	3.062	3.574	2.713	3.274	2.58937	1023448.0	1408551.13433
sub-28686_ses-1	2.726	3.06	2.931	2.142	3.341	2.83	2.602	2.9	2.558	2.313	2.83	2.088	2.832	2.958	2.697	2.64	2.797	3.06	2.68	1.848	2.143	2.586	2.732	2.528	3.038	2.703	2.972	2.353	3.076	2.738	3.76	3.733	2.672	3.088	2.67396	1374766.0	1855999.3068
sub-28687_ses-1	2.729	2.928	2.688	2.218	3.088	2.759	2.516	2.807	2.254	2.216	2.819	2.489	2.596	2.929	2.983	2.48	2.84	2.792	2.865	2.217	2.236	2.676	2.758	2.388	2.95	2.596	2.889	2.333	2.962	2.699	2.822	3.107	2.888	3.097	2.62244	2317413.0	1626371.95032
sub-28688_ses-1	2.693	2.876	2.769	1.866	3.234	2.778	2.648	2.83	2.282	2.278	2.84	2.228	2.592	3.088	2.932	2.512	2.773	3.044	2.676	1.663	2.263	2.584	2.816	2.613	2.949	2.582	2.903	2.4	2.921	2.742	2.554	4.097	2.609	3.152	2.65262	1364401.0	1778729.88143
sub-28689_ses-1	2.893	2.335	2.67	2.046	2.997	2.69	2.571	2.631	2.151	2.207	2.551	2.192	2.598	2.899	2.665	2.568	2.675	2.85	2.569	1.755	2.063	2.489	2.634	2.684	2.631	2.435	2.747	2.535	2.956	2.769	2.833	3.246	2.696	3.082	2.57655	1345715.0	1812945.25313
sub-28690_ses-1	2.645	2.387	2.679	2.089	3.608	3.058	2.435	2.97	2.316	2.224	2.715	2.214	2.694	3.098	2.697	2.577	2.656	3.045	2.728	1.758	2.3	2.677	2.751	2.575	2.828	2.508	2.792	2.302	3.015	2.745	2.996	3.624	2.83	3.062	2.64084	1259786.0	1764367.24294
sub-28691_ses-1	2.699	2.709	2.569	2.093	3.054	2.827	2.493	2.918	2.418	2.309	2.706	2.192	2.346	3.027	2.669	2.376	2.829	2.594	2.57	1.892	2.177	2.52	2.573	2.284	2.99	2.529	2.609	2.174	2.994	2.602	2.641	3.643	2.541	3.139	2.56339	1213297.0	1698831.48482
