rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-28675_ses-1	2.486	3.071	2.557	2.07	3.095	2.944	2.563	3.018	2.41	2.291	2.691	2.392	2.753	3.059	3.046	2.381	2.705	2.928	2.635	1.787	2.048	2.543	2.495	2.377	2.987	2.585	2.764	2.27	2.946	2.659	2.561	3.73	2.544	3.0	2.58668	972471.0	1300781.19608
sub-28676_ses-1	2.808	2.273	2.693	2.209	2.754	2.592	2.485	2.701	2.308	2.282	2.487	2.353	2.163	2.914	2.225	2.702	2.89	2.687	2.688	2.354	2.275	2.403	2.701	2.511	3.259	2.412	2.682	2.373	2.955	2.603	2.727	2.277	3.081	3.266	2.56539	2394150.0	1749166.86885
sub-28677_ses-1	2.719	2.501	2.755	2.002	3.764	2.779	2.647	2.77	2.147	2.27	2.845	2.255	2.73	2.978	2.526	2.528	2.772	2.896	2.742	1.786	2.228	2.379	2.736	2.541	2.993	2.549	2.974	2.356	3.09	2.62	3.056	4.045	2.714	3.369	2.64197	1168031.0	1633886.83503
sub-28678_ses-1	2.907	2.769	2.585	1.983	3.424	2.761	2.89	2.971	2.474	2.385	2.683	2.323	2.622	3.188	2.713	2.717	2.854	3.028	2.761	1.865	2.34	2.583	2.852	2.665	3.057	2.63	2.85	2.578	3.031	2.846	2.927	3.76	2.7	3.238	2.71392	1006596.0	1304880.15432
sub-28679_ses-1	2.984	2.634	2.757	2.26	2.119	2.709	2.539	2.62	2.294	2.414	2.716	2.267	2.211	3.025	2.151	2.564	2.867	2.698	2.798	2.358	2.376	2.501	2.846	2.513	2.498	2.68	2.845	2.413	3.129	2.743	2.838	3.0	2.919	3.008	2.64615	2364192.0	1694458.60002
sub-28680_ses-1	2.721	2.449	2.529	2.075	2.948	2.547	2.526	2.72	2.3	2.152	2.494	2.273	2.598	2.801	2.302	2.46	2.659	2.544	2.505	1.85	2.135	2.601	2.559	2.422	2.798	2.307	2.762	2.222	2.909	2.547	2.696	3.369	2.622	2.807	2.48401	1153994.0	1562884.40689
sub-28681_ses-1	2.774	2.684	2.584	1.978	3.717	2.949	2.622	3.238	2.444	2.367	2.929	2.061	2.818	3.193	2.472	2.47	2.791	3.057	2.738	1.947	2.294	2.597	2.597	2.548	3.294	2.582	2.737	2.322	3.084	2.669	2.839	3.887	2.695	3.249	2.67071	1234996.0	1717627.1011
sub-28682_ses-2	2.61	2.358	2.63	2.332	2.247	2.725	2.579	2.709	2.166	2.252	2.671	2.573	2.665	2.773	2.182	2.326	2.661	2.795	2.557	2.19	2.115	2.038	2.515	2.322	2.858	2.504	2.621	2.238	2.731	2.514	2.929	2.907	2.86	2.572	2.50661	1130227.0	1437818.79326
sub-28683_ses-1	2.724	2.339	2.438	2.003	3.308	2.788	2.624	2.736	2.407	2.382	2.579	2.289	2.548	2.974	2.51	2.444	2.716	2.825	2.443	1.79	2.119	2.493	2.554	2.367	2.748	2.351	2.558	2.258	2.859	2.654	2.909	3.597	2.762	3.002	2.532	1249566.0	1730662.05243
sub-28684_ses-1	2.884	2.297	2.669	2.149	3.368	2.803	2.728	2.91	2.564	2.36	2.607	2.253	2.618	3.161	2.753	2.492	2.776	2.816	2.719	1.818	2.234	2.504	2.676	2.563	3.196	2.559	2.808	2.363	2.988	2.719	2.614	3.977	2.431	3.107	2.63864	1343192.0	1689043.99495
