;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
sub-0003;0,810365796;0,768673182;0,745034218;0,360335201;0,736657917;0,828356862;0,768873096;0,91583854;0,300680876;0,733239055;0,807468235;0,722489238;0,225954071;0,853491366;0,818368375;0,381606638;0,761763036;0,809324145;0,317281067;0,392200768;0,86054486
sub-0070;0,094255671;0,549266398;-0,087319151;0,141531214;0,083229437;-0,142127588;0,399229079;0,774676502;0,555235863;0,564495444;0,54271853;0,30371362;0,30608654;0,59645009;0,386827618;0,431728303;0,572512746;0,561813295;0,410708636;0,335700542;0,810047746
sub-0095;0,335893214;0,302238822;0,371979117;0,274153709;0,243958116;0,293653756;0,57764107;0,719631374;0,129121497;0,18197903;-0,028530067;0,726291955;0,231917769;0,201385438;-0,199491709;0,187877074;0,220381379;-0,075366877;0,294739604;0,2742607;0,600986063
sub-0096;0,608559787;0,615509868;0,664650202;0,362871647;0,656526744;0,666269839;0,769158006;0,84939009;0,344017178;0,743044019;0,773506522;0,791609466;0,325223476;0,792460322;0,798180044;0,314060479;0,814827859;0,79837656;0,392747223;0,541719973;0,84896642
sub-0182;0,830862522;0,832403064;0,740224004;0,634428263;0,70846343;0,7069484;0,91319102;0,865527332;0,654906034;0,836856365;0,785431206;0,886578798;0,695154428;0,875776231;0,769924641;0,709289312;0,917371213;0,789173663;0,770578504;0,777062774;0,842940331
sub-0183;0,632834077;0,717552066;0,439652056;0,519990683;0,592874646;0,671756268;0,550895989;0,647131324;0,38321802;0,486619532;0,429525882;0,606497824;0,41920045;0,620111167;0,664276123;0,190721348;0,6288867;0,344964862;0,361918032;0,641893744;0,529023945
sub-0184;0,533201456;0,696264446;0,669092357;0,177067563;0,746985018;0,519100666;0,507807612;0,735331714;-0,035958022;0,523966253;0,457753211;0,637439132;0,219379336;0,752053738;0,60169071;0,108934008;0,697948396;0,57134968;0,239342153;0,297748804;0,691144705
sub-0185;0,113108173;0,503231883;0,293196201;0,068287872;0,424097359;0,170477629;0,207861453;0,537301242;-0,107175238;0,065370664;0,009629885;0,390920162;0,016655007;0,602125943;0,240028396;-0,095528968;0,310424149;0,146262273;0,087345861;0,488920867;0,349643618
sub-0187;0,511282384;0,521270573;0,450394124;-0,042470895;0,313124239;0,386030823;0,558975816;0,750745714;-0,30349344;0,544056356;0,512390494;0,528170347;-0,063967556;0,742036402;0,513313651;-0,346332729;0,595318258;0,440898806;-0,252715945;-0,192640066;0,625313878
sub-0188;0,674488842;0,778187096;0,349718958;0,165556088;0,725793362;0,603344202;0,766946256;0,610977888;0,056379583;0,610426068;0,426967919;0,472150087;0,103272021;0,724001825;0,630641699;0,063572794;0,29947862;0,128004447;0,109502353;0,100701176;0,753460348
sub-0189;0,686035514;0,760770559;0,630886614;0,260737002;0,636462033;0,55287385;0,849654138;0,901685059;0,24832955;0,811148703;0,666706562;0,840894639;0,290020227;0,849089861;0,659414113;0,228869244;0,788577199;0,595368385;0,25437969;0,697424769;0,645758808
sub-0190;0,465812355;0,662499428;0,4725492;0,591686666;0,442850441;0,265572608;0,785913527;0,800275564;0,637571514;0,698481679;0,608507812;0,782292008;0,675940156;0,739846826;0,498075068;0,653915584;0,725904763;0,536351144;0,607346296;0,479022026;0,797843993
sub-0191;0,70642978;0,771793723;0,742752254;0,622008204;0,417224824;0,523525596;0,496057212;0,65986985;0,431446612;0,052047621;0,137103274;0,700214505;0,61240679;0,66442883;0,636314809;0,555301487;0,314750224;0,394341975;0,530284941;0,653597713;0,699319601
sub-0192;0,481620371;0,545499861;0,466577023;0,213316426;0,397351742;0,252231836;0,769456327;0,685757279;0,534912169;0,68311882;0,480897069;0,677652955;0,502026796;0,75952071;0,48390606;0,554667473;0,687243819;0,294326246;0,704542518;0,529332399;0,717306376
sub-0193;0,476307154;0,366432875;0,183996677;0,41333431;0,05779532;0,363710672;0,499236614;0,598982871;0,165087894;0,413613826;0,501721561;0,774380386;0,140106782;0,757458031;0,602790177;-0,020241147;0,67727077;0,548641205;-0,045503803;0,235538736;0,572173059
sub-0194;0,602095246;0,67455107;0,579592466;0,53992933;0,633296907;0,737680852;0,863877892;0,86534214;0,55371362;0,842724025;0,776382089;0,812883735;0,610577822;0,864872754;0,787337184;0,647601068;0,821571946;0,748779476;0,618427336;0,634242475;0,844148219
sub-0195;0,79593575;0,734429955;0,554061174;-0,245139614;0,476690859;0,39081955;0,831509769;0,729623318;-0,376396567;0,657812238;0,524955988;0,778239429;-0,488318652;0,750038743;0,546141267;-0,490055591;0,802963197;0,62849164;-0,529488742;-0,387971669;0,780310094
sub-0196;0,394769311;0,478307992;0,505523086;0,24117735;0,34478581;0,394723803;0,549916565;0,553229153;0,484781086;0,383747756;0,343765378;0,67457056;0,438925266;0,745521605;0,263086081;0,425478667;0,584527791;0,156665087;0,47650364;0,326714575;0,328150988
sub-0197;0,67240119;0,507647216;0,693813324;0,160852164;0,503640592;0,393847734;0,650755107;0,759888649;0,212121606;0,535236239;0,193059668;0,593277216;0,200689331;0,754239142;0,197873622;0,05864916;0,523119211;0,170418665;0,172023937;0,299244672;0,381545246
sub-0198;0,722751498;0,647323847;0,573057294;0,6036883;0,67066133;0,702793062;0,668722808;0,754213512;0,433526695;0,541294634;0,469093949;0,670424283;0,441419572;0,732614577;0,479817003;0,317600816;0,467005938;0,31299746;0,488799512;0,686594129;0,645024896
sub-0199;0,488120615;0,583229363;0,430870831;-0,004823732;0,389330715;0,2922391;0,666438401;0,858000278;-0,000188497;0,386243403;0,262204051;0,673704922;-0,012197923;0,675804496;0,245290458;0,004084138;0,377818972;0,215365142;0,209798306;0,523231447;0,455937952
sub-0201;0,35375309;0,641077459;0,391347617;0,60043776;0,558100224;0,581592262;0,727818429;0,849191487;0,528506339;0,60313046;0,29121241;0,776674509;0,677417696;0,760104358;0,50331533;0,488082796;0,592442632;0,192372307;0,688866556;0,585742176;0,730895877
sub-0202;0,607206583;0,586146235;0,553673506;0,34072116;0,595225573;0,496191978;0,534048736;0,778958321;0,32844916;0,588036656;0,537185371;0,686863065;0,074384466;0,710803509;0,290835381;0,25464049;0,694208086;0,411824644;0,205546737;0,360820889;0,514630079
sub-0203;0,363352478;0,543716371;0,231683031;0,35663116;0,112924404;0,13405706;0,432425529;0,700368047;0,536609888;0,466425002;0,448374927;0,120905273;0,249351516;0,240375534;-0,124872439;0,476234674;0,535937548;0,650486767;0,421744704;0,638090968;0,542667329
sub-0204;0,621088088;0,777113199;0,608960867;0,506077111;0,742859185;0,780870736;0,563427269;0,721566916;0,350785792;0,555260599;0,450143248;0,74676168;0,49532491;0,706244767;0,734569848;0,392681032;0,65710783;0,47401008;0,358025461;0,57136184;0,736355841
sub-0205;0,803532541;0,823744357;0,591918707;0,41067183;0,490841299;0,64730823;0,863602936;0,729117334;0,477027982;0,475496382;0,656682551;0,742093503;0,467825055;0,547380149;0,686811864;0,63207984;0,611470222;0,736247063;0,439136416;0,716328681;0,660004377
sub-0206;0,650312066;0,792929173;0,660670578;0,301562548;0,434865624;0,536836445;0,677620471;0,79499954;0,190043136;0,55405128;0,526541829;0,708403349;0,403134108;0,597118556;0,613829851;0,31286329;0,506995499;0,489115864;0,360408604;0,568463266;0,721703351
sub-0207;0,781036019;0,520575583;0,530728877;0,425120443;0,373983622;0,473395079;0,486707836;0,720196664;0,452663064;0,44277519;0,60538125;0,510553241;0,311525345;0,665402412;0,253713787;0,422954202;0,542792082;0,535248041;0,368907213;0,474794745;0,573282778
sub-0208;0,645376444;0,612948;0,50538826;0,394047946;0,425093591;0,559010327;0,801746726;0,771969616;0,376061112;0,659788787;0,781501234;0,839783967;0,477516562;0,836924016;0,752160966;0,419787556;0,809188247;0,668791413;0,52173686;0,616062343;0,734366238
sub-0209;0,335069031;0,617331147;0,440903634;0,394560605;0,612595379;0,550138175;0,671741307;0,771246672;0,092644408;0,512060344;0,215765819;0,788944542;0,313998818;0,679728806;0,29152447;0,260005236;0,693215787;0,247550055;0,58937484;0,721035004;0,619856417
sub-0210;0,78028965;0,735670984;0,677405596;0,421541274;0,687257767;0,614247501;0,820505559;0,752433479;0,367992908;0,685968637;0,408162206;0,741558135;0,365502775;0,768506348;0,493765146;0,331644267;0,677727461;0,409705013;0,370966852;0,602201223;0,629682958
