BIDS_participant_ID;lh_bankssts_area;lh_caudalanteriorcingulate_area;lh_caudalmiddlefrontal_area;lh_cuneus_area;lh_entorhinal_area;lh_fusiform_area;lh_inferiorparietal_area;lh_inferiortemporal_area;lh_isthmuscingulate_area;lh_lateraloccipital_area;lh_lateralorbitofrontal_area;lh_lingual_area;lh_medialorbitofrontal_area;lh_middletemporal_area;lh_parahippocampal_area;lh_paracentral_area;lh_parsopercularis_area;lh_parsorbitalis_area;lh_parstriangularis_area;lh_pericalcarine_area;lh_postcentral_area;lh_posteriorcingulate_area;lh_precentral_area;lh_precuneus_area;lh_rostralanteriorcingulate_area;lh_rostralmiddlefrontal_area;lh_superiorfrontal_area;lh_superiorparietal_area;lh_superiortemporal_area;lh_supramarginal_area;lh_frontalpole_area;lh_temporalpole_area;lh_transversetemporal_area;lh_insula_area;lh_WhiteSurfArea_area;BrainSegVolNotVent;eTIV
3;1040.0;593.0;2667.0;1381.0;379.0;3258.0;4692.0;4027.0;879.0;5249.0;2955.0;2625.0;1977.0;3871.0;616.0;1442.0;2132.0;806.0;1779.0;1257.0;3929.0;1371.0;5017.0;3806.0;744.0;6001.0;7417.0;5322.0;4474.0;3725.0;378.0;423.0;498.0;2455.0;89178.3;1141872.0;1492150.05419
25;1054.0;517.0;2600.0;1687.0;466.0;3418.0;5058.0;3272.0;1011.0;5854.0;2678.0;3383.0;1672.0;3257.0;695.0;1310.0;1935.0;726.0;1573.0;1661.0;3911.0;1283.0;5284.0;4396.0;891.0;6923.0;8508.0;5730.0;4720.0;4161.0;324.0;530.0;481.0;2534.0;93506.1;1160814.0;1402434.38944
70;910.0;896.0;2130.0;1719.0;594.0;3441.0;5442.0;4272.0;1164.0;5263.0;2646.0;3216.0;2205.0;4076.0;674.0;1829.0;1406.0;792.0;1272.0;1542.0;4753.0;1626.0;5243.0;4828.0;902.0;6122.0;7241.0;6324.0;3948.0;4380.0;338.0;615.0;371.0;2374.0;94551.7;1286214.0;1509781.2186
95;991.0;928.0;2056.0;1584.0;430.0;3099.0;4546.0;3234.0;1195.0;4889.0;2394.0;2806.0;1742.0;3204.0;550.0;1361.0;1369.0;649.0;1154.0;1482.0;4590.0;1556.0;4645.0;4042.0;1085.0;5474.0;6718.0;5469.0;3626.0;4563.0;263.0;506.0;445.0;1999.0;84642.2;1034497.0;1308864.64423
96;1220.0;500.0;2513.0;1609.0;698.0;3529.0;5584.0;3219.0;1058.0;5760.0;2877.0;3842.0;1415.0;3413.0;838.0;1843.0;1887.0;827.0;1382.0;1510.0;5991.0;1182.0;5727.0;5194.0;699.0;6104.0;8975.0;6816.0;4679.0;5032.0;315.0;566.0;512.0;2511.0;99804.7;1302850.0;1648059.49676
114;833.0;550.0;2492.0;1651.0;500.0;3071.0;4613.0;3228.0;1016.0;5022.0;2596.0;3020.0;1639.0;2827.0;614.0;1594.0;1548.0;729.0;1418.0;1313.0;4229.0;1120.0;4906.0;3935.0;803.0;5177.0;7372.0;5515.0;4011.0;4469.0;252.0;509.0;507.0;2200.0;85278.9;1118446.0;1478528.90396
132;770.0;501.0;2272.0;1870.0;443.0;2883.0;4108.0;2872.0;1219.0;5558.0;2248.0;3840.0;1614.0;3182.0;602.0;1370.0;1717.0;684.0;1599.0;1869.0;4284.0;1034.0;4717.0;4288.0;710.0;5929.0;7275.0;5889.0;4016.0;3632.0;260.0;498.0;394.0;2124.0;86264.6;1024334.0;1430625.10939
175;816.0;466.0;2079.0;1404.0;328.0;2658.0;3304.0;2195.0;963.0;4227.0;1878.0;2851.0;1329.0;2764.0;497.0;1095.0;1363.0;600.0;1154.0;1300.0;3379.0;936.0;4053.0;3372.0;500.0;4195.0;5885.0;4675.0;3677.0;4015.0;223.0;391.0;369.0;1704.0;70644.6;979660.0;1140514.59406
178;1373.0;775.0;2269.0;1426.0;864.0;3415.0;4009.0;3658.0;1132.0;5025.0;1927.0;3143.0;1891.0;3524.0;679.0;1414.0;1699.0;780.0;1406.0;1340.0;3904.0;1143.0;4766.0;4661.0;1267.0;5739.0;8413.0;6825.0;4868.0;5383.0;456.0;553.0;525.0;2807.0;93053.3;1209208.0;1658635.05278
181;1348.0;626.0;3551.0;1244.0;348.0;3558.0;6355.0;4362.0;1394.0;6006.0;3335.0;3561.0;2191.0;4021.0;930.0;1223.0;1700.0;848.0;1381.0;1275.0;4433.0;1698.0;5139.0;4414.0;871.0;7418.0;9226.0;7004.0;4786.0;6195.0;297.0;651.0;549.0;3736.0;105677.0;1484156.0;1763825.65156
