BIDS_participant_ID;session;rh_bankssts_area;rh_caudalanteriorcingulate_area;rh_caudalmiddlefrontal_area;rh_cuneus_area;rh_entorhinal_area;rh_fusiform_area;rh_inferiorparietal_area;rh_inferiortemporal_area;rh_isthmuscingulate_area;rh_lateraloccipital_area;rh_lateralorbitofrontal_area;rh_lingual_area;rh_medialorbitofrontal_area;rh_middletemporal_area;rh_parahippocampal_area;rh_paracentral_area;rh_parsopercularis_area;rh_parsorbitalis_area;rh_parstriangularis_area;rh_pericalcarine_area;rh_postcentral_area;rh_posteriorcingulate_area;rh_precentral_area;rh_precuneus_area;rh_rostralanteriorcingulate_area;rh_rostralmiddlefrontal_area;rh_superiorfrontal_area;rh_superiorparietal_area;rh_superiortemporal_area;rh_supramarginal_area;rh_frontalpole_area;rh_temporalpole_area;rh_transversetemporal_area;rh_insula_area;rh_WhiteSurfArea_area;BrainSegVolNotVent;eTIV
3;ses-02;1176.0;606.0;2158.0;1706.0;347.0;3004.0;6788.0;3189.0;997.0;5099.0;2940.0;2844.0;1817.0;4095.0;699.0;1799.0;1866.0;978.0;2180.0;1403.0;3737.0;1274.0;4805.0;4155.0;751.0;6758.0;7385.0;5363.0;4454.0;3501.0;349.0;491.0;416.0;2577.0;91472.1;1141872.0;1492150.05419
25;ses-02;937.0;657.0;2729.0;2107.0;325.0;2687.0;5164.0;2397.0;1025.0;5878.0;2432.0;3596.0;1784.0;3428.0;619.0;1556.0;1197.0;726.0;1618.0;1735.0;4104.0;1164.0;5882.0;3966.0;614.0;6505.0;7859.0;5418.0;4081.0;3719.0;331.0;424.0;401.0;2536.0;89590.1;1160814.0;1402434.38944
70;ses-02;1095.0;708.0;2125.0;1573.0;471.0;3383.0;7014.0;3744.0;1088.0;5899.0;2687.0;3567.0;2107.0;3936.0;688.0;1634.0;1397.0;863.0;1317.0;1752.0;4157.0;1562.0;5481.0;4706.0;577.0;6244.0;8026.0;6124.0;3721.0;3592.0;300.0;547.0;310.0;2254.0;94647.3;1286214.0;1509781.2186
95;ses-02;963.0;861.0;2219.0;1611.0;467.0;2697.0;5763.0;3337.0;890.0;5093.0;2247.0;2874.0;1965.0;3550.0;565.0;1563.0;1389.0;761.0;1366.0;1548.0;3893.0;1161.0;4391.0;3978.0;651.0;5691.0;7027.0;5695.0;3461.0;3900.0;336.0;454.0;327.0;1816.0;84509.0;1034497.0;1308864.64423
96;ses-02;911.0;921.0;2126.0;1943.0;477.0;3742.0;6144.0;2959.0;1379.0;6503.0;2541.0;3522.0;1896.0;4023.0;745.0;1998.0;1389.0;911.0;1322.0;1421.0;5343.0;1484.0;5693.0;5804.0;619.0;6104.0;8144.0;6384.0;4208.0;4338.0;364.0;501.0;370.0;2295.0;98521.9;1302850.0;1648059.49676
114;ses-02;778.0;651.0;2577.0;1490.0;384.0;3012.0;5305.0;3256.0;930.0;4705.0;2300.0;2696.0;1658.0;3554.0;551.0;1849.0;1523.0;895.0;1714.0;1315.0;4020.0;1156.0;4833.0;3741.0;509.0;6077.0;6989.0;5854.0;3771.0;3806.0;359.0;430.0;313.0;2131.0;85126.0;1118446.0;1478528.90396
132;ses-02;899.0;784.0;2152.0;1967.0;320.0;3024.0;5286.0;3335.0;1083.0;5540.0;2170.0;3895.0;1547.0;3372.0;563.0;1420.0;1220.0;948.0;1674.0;2062.0;4132.0;1270.0;4576.0;4209.0;614.0;6353.0;6255.0;5381.0;3434.0;3368.0;318.0;433.0;300.0;2328.0;86218.4;1024334.0;1430625.10939
175;ses-01;597.0;482.0;1643.0;1482.0;360.0;2534.0;4459.0;2565.0;816.0;4403.0;1840.0;2631.0;1426.0;2750.0;479.0;1311.0;1210.0;664.0;1249.0;1396.0;3337.0;1093.0;3931.0;3361.0;377.0;4175.0;5842.0;4556.0;2990.0;3115.0;295.0;312.0;272.0;1697.0;69646.1;979660.0;1140514.59406
178;ses-02;1060.0;595.0;2175.0;1652.0;540.0;3203.0;5466.0;3014.0;961.0;5064.0;1559.0;3175.0;2195.0;3263.0;666.0;1543.0;1254.0;639.0;1247.0;1560.0;4191.0;1107.0;4871.0;4558.0;644.0;5513.0;7991.0;6257.0;3570.0;4427.0;307.0;411.0;391.0;2343.0;87412.5;1209208.0;1658635.05278
181;ses-01;998.0;774.0;2157.0;1475.0;446.0;3748.0;8035.0;3301.0;1125.0;6255.0;2773.0;3967.0;2155.0;3915.0;837.0;1995.0;1467.0;1074.0;1831.0;1329.0;5207.0;1673.0;5673.0;4287.0;661.0;7780.0;8541.0;6208.0;4465.0;4908.0;424.0;415.0;393.0;2535.0;102827.0;1484156.0;1763825.65156
182;ses-01;846.0;1099.0;2981.0;2061.0;498.0;3449.0;6609.0;3816.0;1117.0;5907.0;2836.0;3881.0;2258.0;4225.0;667.0;1951.0;1770.0;864.0;1959.0;1977.0;4523.0;1552.0;4999.0;5181.0;934.0;7572.0;8537.0;6138.0;3876.0;3468.0;361.0;508.0;337.0;2396.0;101151.0;1251589.0;1642434.4501
183;ses-01;1069.0;537.0;2215.0;1353.0;414.0;2703.0;5348.0;3110.0;907.0;4108.0;2695.0;2405.0;2129.0;3476.0;594.0;1559.0;1700.0;765.0;1531.0;1374.0;3767.0;1119.0;4720.0;3777.0;510.0;5315.0;6766.0;5761.0;3592.0;3735.0;314.0;443.0;350.0;2407.0;82553.6;1100475.0;1553350.30127
