lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0003_ses-02	2.292	2.765	2.632	1.888	3.012	2.609	2.364	2.859	2.427	2.206	2.694	2.068	2.546	2.813	2.678	2.395	2.664	2.59	2.418	1.981	2.186	2.517	2.561	2.359	3.023	2.248	2.713	2.148	2.717	2.517	2.498	3.492	2.483	3.141	2.49574	1141872.0	1492150.05419
sub-0025_ses-02	2.617	2.473	2.628	2.348	3.344	2.762	2.641	2.969	2.56	2.317	3.068	2.35	2.784	3.108	2.667	2.437	2.849	2.993	2.721	2.09	2.186	2.699	2.724	2.47	2.922	2.608	2.974	2.308	2.981	2.76	2.975	3.419	2.6	3.281	2.68183	1160814.0	1402434.38944
sub-0070_ses-02	2.794	3.129	2.724	2.272	3.717	3.055	2.68	3.293	2.58	2.501	3.183	2.268	2.967	3.263	3.194	2.671	2.973	2.695	2.777	1.738	2.293	3.104	2.766	2.674	3.414	2.569	3.095	2.46	3.32	2.883	3.201	4.447	2.828	3.319	2.81361	1286214.0	1509781.2186
sub-0095_ses-02	2.561	2.677	2.469	1.8	2.896	2.699	2.358	2.728	2.371	2.329	2.774	2.204	2.65	2.833	2.669	2.304	2.764	2.752	2.606	1.824	1.984	2.487	2.574	2.397	2.957	2.32	2.659	2.115	2.74	2.48	2.907	3.356	2.477	3.191	2.47962	1034497.0	1308864.64423
sub-0096_ses-02	3.091	3.083	2.448	2.279	2.995	3.07	2.714	2.783	2.974	2.605	3.122	2.408	3.001	3.027	3.314	2.629	2.98	2.996	2.563	1.935	2.405	3.205	2.67	2.692	3.506	2.754	2.845	2.268	3.136	2.848	3.346	3.908	2.846	3.293	2.75681	1302850.0	1648059.49676
sub-0114_ses-02	2.368	2.666	2.465	2.022	2.824	2.502	2.429	2.641	2.39	2.263	2.753	2.03	2.466	2.811	2.935	2.431	2.57	2.778	2.597	1.861	2.017	2.757	2.452	2.26	2.891	2.32	2.812	2.132	2.804	2.453	2.956	3.577	2.711	3.004	2.46991	1118446.0	1478528.90396
sub-0132_ses-02	2.535	2.669	2.418	1.951	2.892	2.701	2.344	2.573	2.308	2.102	2.607	2.016	2.582	2.796	2.619	2.291	2.507	2.586	2.319	1.564	2.005	2.407	2.509	2.328	2.669	2.322	2.76	2.1	2.786	2.604	2.651	3.879	2.52	2.997	2.41645	1024334.0	1430625.10939
sub-0175_ses-01	3.024	3.476	2.896	2.573	3.612	3.187	2.882	3.105	2.819	2.707	3.476	2.618	3.462	3.381	3.309	2.799	3.004	3.03	3.033	2.252	2.452	2.68	2.788	2.922	3.86	2.928	3.309	2.763	3.207	3.07	3.994	4.14	3.303	3.63	2.99225	979660.0	1140514.59406
sub-0178_ses-02	2.884	2.652	2.713	2.033	3.239	2.993	2.677	3.161	2.659	2.542	1.987	2.422	1.224	3.285	3.609	2.569	3.112	2.381	2.705	1.895	2.15	2.875	2.803	2.59	2.096	2.479	2.973	2.314	3.23	2.753	2.017	1.829	2.794	3.113	2.68755	1209208.0	1658635.05278
sub-0181_ses-01	2.976	2.954	2.96	2.876	2.565	3.427	3.206	3.511	2.712	2.704	3.285	3.006	3.234	3.349	2.61	2.809	3.475	3.419	3.087	2.667	2.695	2.66	2.932	2.927	3.702	2.779	3.197	2.739	3.367	3.156	3.691	3.493	3.207	3.121	3.05307	1484156.0	1763825.65156
sub-0182_ses-01	2.418	2.572	2.394	1.816	3.188	2.48	2.339	2.56	2.162	2.112	2.572	2.044	2.443	2.571	3.049	2.519	2.538	2.47	2.315	1.627	2.034	2.448	2.562	2.365	2.822	2.213	2.629	2.102	2.582	2.449	2.508	3.652	2.451	2.973	2.38989	1251589.0	1642434.4501
sub-0183_ses-01	2.447	2.497	2.452	1.884	2.815	2.567	2.199	2.553	2.458	2.16	2.437	2.014	2.382	2.624	2.572	2.325	2.511	2.629	2.348	1.713	2.07	2.306	2.578	2.138	2.836	2.296	2.594	2.045	2.746	2.424	2.93	3.317	2.555	2.852	2.38119	1100475.0	1553350.30127
sub-0184_ses-01	2.848	2.839	3.053	2.204	2.703	2.952	2.747	3.202	2.626	2.417	3.065	2.331	2.744	3.202	3.324	2.78	2.959	3.168	2.735	2.079	2.24	2.716	2.902	2.616	3.448	2.819	3.202	2.501	3.034	2.943	3.689	4.072	2.4	3.494	2.81748	1059924.0	1314174.36863
sub-0185_ses-01	2.142	2.551	3.023	2.739	3.374	2.765	2.678	2.708	2.772	2.547	3.505	2.34	3.544	2.817	2.716	2.753	2.964	3.594	3.122	2.101	2.513	2.817	2.88	2.604	2.786	3.079	3.395	2.626	2.701	2.885	4.067	2.793	2.384	3.382	2.86236	973709.0	1366564.7278
sub-0186_ses-01	2.411	2.72	2.438	1.622	2.925	2.378	2.504	2.674	2.664	2.052	2.68	1.974	2.487	2.798	2.961	2.19	2.539	2.555	2.453	1.639	1.954	2.359	2.515	2.331	3.155	2.353	2.617	2.052	2.628	2.421	2.617	3.405	2.108	3.065	2.40493	1037649.0	1492859.68616
sub-0187_ses-01	2.411	2.868	2.682	1.76	3.612	2.794	2.398	2.931	2.389	2.195	2.846	2.187	2.465	2.719	3.009	2.373	2.769	2.898	2.597	1.702	2.059	2.359	2.626	2.381	2.935	2.416	2.846	2.101	2.896	2.549	2.995	3.793	2.561	3.097	2.54507	1089574.0	1476539.08854
sub-0188_ses-01	2.593	2.725	2.429	1.819	3.361	2.614	2.517	2.841	2.381	2.172	2.771	2.061	2.381	2.681	2.389	2.377	2.535	2.75	2.601	1.656	2.056	2.408	2.527	2.392	2.757	2.282	2.697	2.137	2.762	2.636	2.764	3.569	2.535	2.892	2.46509	944655.0	1284075.01871
sub-0189_ses-01	2.242	2.206	2.304	1.697	3.147	2.464	2.184	2.594	2.291	2.026	2.413	1.923	2.306	2.485	2.246	2.132	2.5	2.539	2.404	1.718	1.894	2.326	2.403	2.082	2.493	2.168	2.362	1.944	2.441	2.31	2.432	3.57	2.277	2.902	2.25601	1132154.0	1554784.57711
sub-0190_ses-01	2.883	2.994	2.85	2.547	3.873	2.889	2.812	3.079	2.83	2.427	2.942	2.405	2.776	3.178	3.027	2.971	2.864	3.18	2.72	2.234	2.405	2.927	2.882	2.735	3.12	2.673	3.152	2.459	3.195	2.848	3.02	3.687	2.873	3.435	2.83406	1158929.0	1364384.83879
