rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-0003_ses-02	2.451	2.478	2.585	1.916	3.409	2.597	2.401	2.703	2.467	2.113	2.676	2.052	2.372	2.991	2.451	2.366	2.629	2.664	2.42	1.743	2.087	2.408	2.608	2.324	2.954	2.271	2.749	2.106	2.941	2.554	2.372	3.494	2.7	3.023	2.47897	1141872.0	1492150.05419
sub-0025_ses-02	2.521	2.678	2.686	2.465	2.978	2.624	2.612	2.637	2.754	2.387	3.105	2.388	2.889	3.071	2.586	2.447	2.81	3.191	2.872	2.104	2.122	2.565	2.585	2.664	3.236	2.649	2.993	2.273	2.937	2.642	3.031	3.691	2.574	3.296	2.66423	1160814.0	1402434.38944
sub-0070_ses-02	2.961	2.727	2.767	2.329	3.352	3.255	2.739	3.495	2.74	2.576	3.181	2.273	2.825	3.323	2.915	2.787	2.875	3.439	2.734	1.798	2.238	2.869	2.741	2.682	3.169	2.66	3.123	2.368	3.299	2.822	3.624	4.273	2.871	3.224	2.82247	1286214.0	1509781.2186
sub-0095_ses-02	2.591	2.689	2.427	1.977	3.005	2.604	2.396	2.861	2.267	2.386	2.867	2.357	2.648	2.923	2.88	2.274	2.57	2.932	2.401	1.739	2.041	2.444	2.427	2.337	2.86	2.316	2.695	2.013	2.828	2.518	3.015	3.376	2.655	3.062	2.4812	1034497.0	1308864.64423
sub-0096_ses-02	3.04	3.324	2.566	2.565	3.155	2.996	2.725	2.71	2.825	2.645	3.314	2.623	3.146	2.972	2.857	2.665	2.935	2.608	2.751	2.249	2.331	2.984	2.506	2.581	3.844	2.731	2.916	2.464	2.902	3.025	3.07	3.944	3.036	3.345	2.77187	1302850.0	1648059.49676
sub-0114_ses-02	2.697	2.286	2.582	2.073	3.042	2.542	2.56	2.735	2.284	2.251	2.922	2.161	2.768	2.907	2.266	2.397	2.368	2.884	2.349	1.897	1.941	2.438	2.532	2.37	3.055	2.516	2.755	2.126	2.822	2.527	3.014	3.423	2.532	3.116	2.51308	1118446.0	1478528.90396
sub-0132_ses-02	2.349	2.474	2.495	2.007	3.192	2.669	2.405	2.703	2.495	2.106	2.826	2.049	2.792	2.913	2.517	2.165	2.516	2.688	2.39	1.788	1.957	2.404	2.42	2.24	2.634	2.404	2.706	2.044	2.719	2.36	3.108	3.792	2.404	2.957	2.41543	1024334.0	1430625.10939
sub-0175_ses-01	3.126	2.953	3.066	2.475	3.485	3.108	3.05	3.371	2.689	2.782	3.458	2.758	3.331	3.606	3.056	2.913	2.979	3.138	3.175	2.241	2.421	2.897	2.849	2.912	4.071	2.975	3.303	2.802	3.192	3.17	3.389	4.386	3.202	3.655	3.02941	979660.0	1140514.59406
sub-0178_ses-02	2.844	2.744	2.651	2.024	3.142	3.018	2.606	3.296	2.817	2.587	2.444	2.524	1.826	3.255	3.328	2.479	3.129	1.701	2.786	1.933	2.256	3.029	2.747	2.514	2.441	2.604	2.931	2.262	3.173	2.731	2.383	2.758	2.823	3.054	2.68183	1209208.0	1658635.05278
sub-0181_ses-01	3.037	2.759	3.066	2.975	2.742	3.104	3.029	3.641	2.582	2.798	3.35	2.781	3.143	3.571	2.524	2.742	3.087	3.533	3.141	2.559	2.69	2.851	2.871	2.971	3.87	2.962	3.203	2.651	3.577	3.234	3.137	4.147	3.001	3.846	3.06469	1484156.0	1763825.65156
sub-0182_ses-01	2.376	2.539	2.339	1.799	3.263	2.651	2.36	2.65	2.386	2.141	2.579	2.038	2.375	2.699	2.869	2.462	2.724	2.519	2.669	1.723	2.046	2.375	2.533	2.268	2.718	2.268	2.665	2.109	2.706	2.417	2.444	3.792	2.56	2.933	2.41202	1251589.0	1642434.4501
sub-0183_ses-01	2.3	2.283	2.481	1.856	2.952	2.449	2.237	2.499	2.315	2.081	2.464	2.005	2.155	2.577	2.463	2.341	2.376	2.495	2.404	1.689	2.037	2.077	2.527	2.153	2.716	2.276	2.576	2.002	2.668	2.366	2.586	3.212	2.31	2.614	2.32406	1100475.0	1553350.30127
sub-0184_ses-01	2.927	2.613	2.99	2.184	2.845	3.05	2.669	3.038	2.678	2.604	2.963	2.404	2.713	3.234	2.902	2.57	3.136	3.296	2.836	1.786	2.268	2.651	2.749	2.569	3.034	2.798	3.189	2.562	3.005	2.777	2.679	4.377	2.297	3.383	2.79245	1059924.0	1314174.36863
sub-0185_ses-01	2.571	2.994	2.809	2.492	3.304	2.574	2.626	3.084	2.659	2.627	2.978	2.663	3.341	2.973	3.063	2.825	2.887	3.371	3.104	2.41	2.667	2.598	2.841	2.507	3.82	2.987	3.512	2.645	2.904	3.107	3.086	2.758	2.254	3.122	2.88014	973709.0	1366564.7278
